SHEDID,time,RT,LEASE
1,2015-01-01,0.0,0.0
1,2015-01-02,0.0,0.0
1,2015-01-03,0.0,0.0
1,2015-01-04,0.0,0.0
1,2015-01-05,0.0,0.0
1,2015-01-06,0.0,0.0
1,2015-01-07,0.0,0.0
1,2015-01-08,0.0,0.0
1,2015-01-09,0.0,0.0
1,2015-01-10,0.0,0.0
1,2015-01-11,0.0,0.0
1,2015-01-12,0.0,0.0
1,2015-01-13,3.0,20.0
1,2015-01-14,45.0,46.0
1,2015-01-15,72.0,53.0
1,2015-01-16,44.0,40.0
1,2015-01-17,27.0,18.0
1,2015-01-18,31.0,25.0
1,2015-01-19,78.0,79.0
1,2015-01-20,62.0,60.0
1,2015-01-21,49.0,47.0
1,2015-01-22,65.0,59.0
1,2015-01-23,60.0,69.0
1,2015-01-24,32.0,27.0
1,2015-01-25,19.0,15.0
1,2015-01-26,84.0,80.0
1,2015-01-27,51.0,55.0
1,2015-01-28,52.0,38.0
1,2015-01-29,42.0,32.0
1,2015-01-30,44.0,47.0
1,2015-01-31,16.0,13.0
1,2015-02-01,12.0,7.0
1,2015-02-02,54.0,61.0
1,2015-02-03,47.0,47.0
1,2015-02-04,49.0,39.0
1,2015-02-05,56.0,45.0
1,2015-02-06,69.0,53.0
1,2015-02-07,22.0,22.0
1,2015-02-08,26.0,13.0
1,2015-02-09,68.0,61.0
1,2015-02-10,68.0,58.0
1,2015-02-11,78.0,62.0
1,2015-02-12,76.0,76.0
1,2015-02-13,69.0,63.0
1,2015-02-14,29.0,22.0
1,2015-02-15,30.0,32.0
1,2015-02-16,55.0,49.0
1,2015-02-17,56.0,59.0
1,2015-02-18,3.0,7.0
1,2015-02-19,8.0,4.0
1,2015-02-20,2.0,2.0
1,2015-02-21,5.0,6.0
1,2015-02-22,6.0,5.0
1,2015-02-23,14.0,9.0
1,2015-02-24,21.0,20.0
1,2015-02-25,52.0,46.0
1,2015-02-26,64.0,70.0
1,2015-02-27,58.0,53.0
1,2015-02-28,32.0,23.0
1,2015-03-01,21.0,15.0
1,2015-03-02,73.0,72.0
1,2015-03-03,62.0,62.0
1,2015-03-04,51.0,49.0
1,2015-03-05,57.0,59.0
1,2015-03-06,68.0,67.0
1,2015-03-07,27.0,30.0
1,2015-03-08,18.0,8.0
1,2015-03-09,44.0,42.0
1,2015-03-10,75.0,69.0
1,2015-03-11,71.0,65.0
1,2015-03-12,84.0,75.0
1,2015-03-13,87.0,71.0
1,2015-03-14,30.0,25.0
1,2015-03-15,22.0,18.0
1,2015-03-16,86.0,96.0
1,2015-03-17,43.0,17.0
1,2015-03-18,16.0,17.0
1,2015-03-19,87.0,56.0
1,2015-03-20,90.0,82.0
1,2015-03-21,43.0,36.0
1,2015-03-22,25.0,27.0
1,2015-03-23,120.0,99.0
1,2015-03-24,105.0,105.0
1,2015-03-25,88.0,81.0
1,2015-03-26,82.0,78.0
1,2015-03-27,76.0,67.0
1,2015-03-28,37.0,32.0
1,2015-03-29,32.0,26.0
1,2015-03-30,100.0,102.0
1,2015-03-31,104.0,101.0
1,2015-04-01,79.0,63.0
1,2015-04-02,75.0,72.0
1,2015-04-03,76.0,68.0
1,2015-04-04,10.0,11.0
1,2015-04-05,9.0,8.0
1,2015-04-06,24.0,24.0
1,2015-04-07,75.0,65.0
1,2015-04-08,103.0,67.0
1,2015-04-09,73.0,71.0
1,2015-04-10,85.0,65.0
1,2015-04-11,88.0,78.0
1,2015-04-12,26.0,22.0
1,2015-04-13,81.0,53.0
1,2015-04-14,89.0,82.0
1,2015-04-15,98.0,86.0
1,2015-04-16,108.0,95.0
1,2015-04-17,88.0,76.0
1,2015-04-18,45.0,39.0
1,2015-04-19,26.0,16.0
1,2015-04-20,100.0,101.0
1,2015-04-21,101.0,86.0
1,2015-04-22,99.0,95.0
1,2015-04-23,101.0,88.0
1,2015-04-24,85.0,82.0
1,2015-04-25,42.0,46.0
1,2015-04-26,22.0,21.0
1,2015-04-27,116.0,118.0
1,2015-04-28,71.0,58.0
1,2015-04-29,88.0,74.0
1,2015-04-30,94.0,83.0
1,2015-05-01,19.0,18.0
1,2015-05-02,4.0,7.0
1,2015-05-03,33.0,29.0
1,2015-05-04,101.0,92.0
1,2015-05-05,105.0,99.0
1,2015-05-06,97.0,91.0
1,2015-05-07,104.0,100.0
1,2015-05-08,73.0,43.0
1,2015-05-09,36.0,27.0
1,2015-05-10,40.0,33.0
1,2015-05-11,33.0,46.0
1,2015-05-12,91.0,89.0
1,2015-05-13,102.0,93.0
1,2015-05-14,98.0,85.0
1,2015-05-15,47.0,55.0
1,2015-05-16,38.0,21.0
1,2015-05-17,33.0,29.0
1,2015-05-18,97.0,109.0
1,2015-05-19,95.0,97.0
1,2015-05-20,92.0,98.0
1,2015-05-21,87.0,91.0
1,2015-05-22,96.0,78.0
1,2015-05-23,44.0,43.0
1,2015-05-24,30.0,27.0
1,2015-05-25,126.0,130.0
1,2015-05-26,88.0,83.0
