SHEDID,time,RT,LEASE,date1,week_day,date
1,2015-01-14,45.0,46.0,2015-01-14,3,2015-01-14
1,2015-01-15,72.0,53.0,2015-01-15,4,2015-01-15
1,2015-01-16,44.0,40.0,2015-01-16,5,2015-01-16
1,2015-01-17,27.0,18.0,2015-01-17,6,2015-01-17
1,2015-01-18,31.0,25.0,2015-01-18,7,2015-01-18
1,2015-01-19,78.0,79.0,2015-01-19,1,2015-01-19
1,2015-01-20,62.0,60.0,2015-01-20,2,2015-01-20
1,2015-01-21,49.0,47.0,2015-01-21,3,2015-01-21
1,2015-01-22,65.0,59.0,2015-01-22,4,2015-01-22
1,2015-01-23,60.0,69.0,2015-01-23,5,2015-01-23
1,2015-01-24,32.0,27.0,2015-01-24,6,2015-01-24
1,2015-01-25,19.0,15.0,2015-01-25,7,2015-01-25
1,2015-01-26,84.0,80.0,2015-01-26,1,2015-01-26
1,2015-01-27,51.0,55.0,2015-01-27,2,2015-01-27
1,2015-01-28,52.0,38.0,2015-01-28,3,2015-01-28
1,2015-01-29,42.0,32.0,2015-01-29,4,2015-01-29
1,2015-01-30,44.0,47.0,2015-01-30,5,2015-01-30
1,2015-01-31,16.0,13.0,2015-01-31,6,2015-01-31
1,2015-02-01,12.0,7.0,2015-02-01,7,2015-02-01
1,2015-02-02,54.0,61.0,2015-02-02,1,2015-02-02
1,2015-02-03,47.0,47.0,2015-02-03,2,2015-02-03
1,2015-02-04,49.0,39.0,2015-02-04,3,2015-02-04
1,2015-02-05,56.0,45.0,2015-02-05,4,2015-02-05
1,2015-02-06,69.0,53.0,2015-02-06,5,2015-02-06
1,2015-02-07,22.0,22.0,2015-02-07,6,2015-02-07
1,2015-02-08,26.0,13.0,2015-02-08,7,2015-02-08
1,2015-02-09,68.0,61.0,2015-02-09,1,2015-02-09
1,2015-02-10,68.0,58.0,2015-02-10,2,2015-02-10
1,2015-02-11,78.0,62.0,2015-02-11,3,2015-02-11
1,2015-02-12,76.0,76.0,2015-02-12,4,2015-02-12
1,2015-02-13,69.0,63.0,2015-02-13,5,2015-02-13
1,2015-02-14,29.0,22.0,2015-02-14,6,2015-02-14
1,2015-02-15,30.0,32.0,2015-02-15,7,2015-02-15
1,2015-02-16,55.0,49.0,2015-02-16,1,2015-02-16
1,2015-02-17,56.0,59.0,2015-02-17,2,2015-02-17
