SHEDID,time,RT,LEASE
1,2015/9/1,44,48
1,2015/9/2,44,45
1,2015/9/3,44,50
1,2015/9/4,38,41
1,2015/9/5,20,20
1,2015/9/6,17,19
1,2015/9/7,50,63
1,2015/9/8,49,53
1,2015/9/9,49,49
1,2015/9/10,49,55
1,2015/9/11,49,51
1,2015/9/12,25,25
1,2015/9/13,19,20
1,2015/9/14,55,68
1,2015/9/15,51,55
1,2015/9/16,51,52
1,2015/9/17,51,57
1,2015/9/18,51,53
1,2015/9/19,26,26
1,2015/9/20,20,21
1,2015/9/21,58,71
1,2015/9/22,51,55
1,2015/9/23,51,52
1,2015/9/24,51,57
1,2015/9/25,51,53
1,2015/9/26,26,26
1,2015/9/27,12,13
1,2015/9/28,58,71
1,2015/9/29,68,71
1,2015/9/30,59,59
1,2015/10/1,42,46
1,2015/10/2,42,43
1,2015/10/3,23,23
1,2015/10/4,16,17
1,2015/10/5,48,57
1,2015/10/6,52,54
1,2015/10/7,52,50
1,2015/10/8,83,90
1,2015/10/9,83,84
1,2015/10/10,42,42
1,2015/10/11,32,33
1,2015/10/12,95,113
1,2015/10/13,86,89
1,2015/10/14,86,84
1,2015/10/15,86,93
1,2015/10/16,85,86
1,2015/10/17,44,43
1,2015/10/18,33,34
1,2015/10/19,98,116
1,2015/10/20,84,87
1,2015/10/21,83,81
1,2015/10/22,83,90
1,2015/10/23,83,84
1,2015/10/24,42,42
1,2015/10/25,32,33
1,2015/10/26,95,113
1,2015/10/27,76,79
1,2015/10/28,76,74
1,2015/10/29,76,83
1,2015/10/30,75,77
1,2015/10/31,39,38
2,2015/9/1,21,24
2,2015/9/2,20,22
2,2015/9/3,22,23
2,2015/9/4,20,19
2,2015/9/5,15,14
2,2015/9/6,13,16
2,2015/9/7,18,24
2,2015/9/8,25,28
2,2015/9/9,24,26
2,2015/9/10,27,28
2,2015/9/11,27,26
2,2015/9/12,21,19
2,2015/9/13,15,19
2,2015/9/14,21,29
2,2015/9/15,27,30
2,2015/9/16,27,28
2,2015/9/17,29,30
2,2015/9/18,30,28
2,2015/9/19,22,21
2,2015/9/20,17,20
2,2015/9/21,23,31
2,2015/9/22,27,30
2,2015/9/23,27,28
2,2015/9/24,29,30
2,2015/9/25,30,28
2,2015/9/26,22,21
2,2015/9/27,11,13
2,2015/9/28,23,31
2,2015/9/29,30,33
2,2015/9/30,25,27
2,2015/10/1,20,20
2,2015/10/2,20,19
2,2015/10/3,16,15
2,2015/10/4,11,14
2,2015/10/5,16,21
2,2015/10/6,18,20
2,2015/10/7,18,19
2,2015/10/8,31,32
2,2015/10/9,32,30
2,2015/10/10,24,22
2,2015/10/11,18,22
2,2015/10/12,25,33
2,2015/10/13,31,34
2,2015/10/14,30,32
2,2015/10/15,33,33
2,2015/10/16,33,31
2,2015/10/17,25,23
2,2015/10/18,19,23
2,2015/10/19,26,34
2,2015/10/20,30,33
2,2015/10/21,29,31
2,2015/10/22,31,32
2,2015/10/23,32,30
2,2015/10/24,24,22
2,2015/10/25,18,22
2,2015/10/26,25,33
2,2015/10/27,28,31
2,2015/10/28,28,29
2,2015/10/29,30,31
2,2015/10/30,31,29
2,2015/10/31,23,22
3,2015/9/1,48,52
3,2015/9/2,50,51
3,2015/9/3,53,52
3,2015/9/4,46,46
3,2015/9/5,44,42
3,2015/9/6,46,44
3,2015/9/7,50,51
3,2015/9/8,52,56
3,2015/9/9,54,55
3,2015/9/10,57,56
3,2015/9/11,57,56
3,2015/9/12,54,51
3,2015/9/13,49,48
3,2015/9/14,54,56
3,2015/9/15,54,58
3,2015/9/16,56,57
3,2015/9/17,59,58
3,2015/9/18,59,58
3,2015/9/19,56,53
3,2015/9/20,51,49
3,2015/9/21,55,58
3,2015/9/22,54,58
3,2015/9/23,56,57
3,2015/9/24,59,58
