SHEDID,time,RT,LEASE,date1,week_day
1,2015/9/1,37,41,2015-09-01,2
1,2015/9/2,37,41,2015-09-02,3
1,2015/9/3,37,41,2015-09-03,4
1,2015/9/4,37,41,2015-09-04,5
1,2015/9/5,37,41,2015-09-05,6
1,2015/9/6,37,41,2015-09-06,7
1,2015/9/7,37,41,2015-09-07,1
1,2015/9/8,37,41,2015-09-08,2
1,2015/9/9,37,41,2015-09-09,3
1,2015/9/10,37,41,2015-09-10,4
1,2015/9/11,37,41,2015-09-11,5
1,2015/9/12,37,41,2015-09-12,6
1,2015/9/13,37,41,2015-09-13,7
1,2015/9/14,37,41,2015-09-14,1
1,2015/9/15,37,41,2015-09-15,2
1,2015/9/16,37,41,2015-09-16,3
1,2015/9/17,37,41,2015-09-17,4
1,2015/9/18,37,41,2015-09-18,5
1,2015/9/19,37,41,2015-09-19,6
1,2015/9/20,37,41,2015-09-20,7
1,2015/9/21,37,41,2015-09-21,1
1,2015/9/22,37,41,2015-09-22,2
1,2015/9/23,37,41,2015-09-23,3
1,2015/9/24,37,41,2015-09-24,4
1,2015/9/25,37,41,2015-09-25,5
1,2015/9/26,37,41,2015-09-26,6
1,2015/9/27,37,41,2015-09-27,7
1,2015/9/28,37,41,2015-09-28,1
1,2015/9/29,37,41,2015-09-29,2
1,2015/9/30,37,41,2015-09-30,3
1,2015/10/1,37,41,2015-10-01,4
1,2015/10/2,37,41,2015-10-02,5
1,2015/10/3,37,41,2015-10-03,6
1,2015/10/4,37,41,2015-10-04,7
1,2015/10/5,37,41,2015-10-05,1
1,2015/10/6,37,41,2015-10-06,2
1,2015/10/7,37,41,2015-10-07,3
1,2015/10/8,37,41,2015-10-08,4
1,2015/10/9,37,41,2015-10-09,5
1,2015/10/10,37,41,2015-10-10,6
1,2015/10/11,37,41,2015-10-11,7
1,2015/10/12,37,41,2015-10-12,1
1,2015/10/13,37,41,2015-10-13,2
1,2015/10/14,37,41,2015-10-14,3
1,2015/10/15,37,41,2015-10-15,4
1,2015/10/16,37,41,2015-10-16,5
1,2015/10/17,37,41,2015-10-17,6
1,2015/10/18,37,41,2015-10-18,7
1,2015/10/19,37,41,2015-10-19,1
1,2015/10/20,37,41,2015-10-20,2
1,2015/10/21,37,41,2015-10-21,3
1,2015/10/22,37,41,2015-10-22,4
1,2015/10/23,37,41,2015-10-23,5
1,2015/10/24,37,41,2015-10-24,6
1,2015/10/25,37,41,2015-10-25,7
1,2015/10/26,37,41,2015-10-26,1
1,2015/10/27,37,41,2015-10-27,2
1,2015/10/28,37,41,2015-10-28,3
1,2015/10/29,37,41,2015-10-29,4
1,2015/10/30,37,41,2015-10-30,5
1,2015/10/31,37,41,2015-10-31,6
2,2015/9/1,18,20,2015-09-01,2
