SHEDID,time,RT,LEASE
1,2015/9/1,37,41
1,2015/9/2,37,41
1,2015/9/3,37,41
1,2015/9/4,37,41
1,2015/9/5,37,41
1,2015/9/6,37,41
1,2015/9/7,37,41
1,2015/9/8,37,41
1,2015/9/9,37,41
1,2015/9/10,37,41
1,2015/9/11,37,41
1,2015/9/12,37,41
1,2015/9/13,37,41
1,2015/9/14,37,41
1,2015/9/15,37,41
1,2015/9/16,37,41
1,2015/9/17,37,41
1,2015/9/18,37,41
1,2015/9/19,37,41
1,2015/9/20,37,41
1,2015/9/21,37,41
1,2015/9/22,37,41
1,2015/9/23,37,41
1,2015/9/24,37,41
1,2015/9/25,37,41
1,2015/9/26,37,41
1,2015/9/27,37,41
1,2015/9/28,37,41
1,2015/9/29,37,41
1,2015/9/30,37,41
1,2015/10/1,37,41
1,2015/10/2,37,41
1,2015/10/3,37,41
1,2015/10/4,37,41
1,2015/10/5,37,41
1,2015/10/6,37,41
1,2015/10/7,37,41
1,2015/10/8,37,41
1,2015/10/9,37,41
1,2015/10/10,37,41
1,2015/10/11,37,41
1,2015/10/12,37,41
1,2015/10/13,37,41
1,2015/10/14,37,41
1,2015/10/15,37,41
1,2015/10/16,37,41
1,2015/10/17,37,41
1,2015/10/18,37,41
1,2015/10/19,37,41
1,2015/10/20,37,41
1,2015/10/21,37,41
1,2015/10/22,37,41
1,2015/10/23,37,41
1,2015/10/24,37,41
1,2015/10/25,37,41
1,2015/10/26,37,41
1,2015/10/27,37,41
1,2015/10/28,37,41
1,2015/10/29,37,41
1,2015/10/30,37,41
1,2015/10/31,37,41
2,2015/9/1,18,20
2,2015/9/2,18,20
2,2015/9/3,18,20
2,2015/9/4,18,20
2,2015/9/5,18,20
2,2015/9/6,18,20
2,2015/9/7,18,20
2,2015/9/8,18,20
2,2015/9/9,18,20
2,2015/9/10,18,20
2,2015/9/11,18,20
2,2015/9/12,18,20
2,2015/9/13,18,20
2,2015/9/14,18,20
2,2015/9/15,18,20
2,2015/9/16,18,20
2,2015/9/17,18,20
2,2015/9/18,18,20
2,2015/9/19,18,20
2,2015/9/20,18,20
2,2015/9/21,18,20
2,2015/9/22,18,20
2,2015/9/23,18,20
2,2015/9/24,18,20
2,2015/9/25,18,20
2,2015/9/26,18,20
2,2015/9/27,18,20
2,2015/9/28,18,20
2,2015/9/29,18,20
2,2015/9/30,18,20
2,2015/10/1,18,20
2,2015/10/2,18,20
2,2015/10/3,18,20
2,2015/10/4,18,20
2,2015/10/5,18,20
2,2015/10/6,18,20
2,2015/10/7,18,20
2,2015/10/8,18,20
2,2015/10/9,18,20
2,2015/10/10,18,20
2,2015/10/11,18,20
2,2015/10/12,18,20
2,2015/10/13,18,20
2,2015/10/14,18,20
2,2015/10/15,18,20
2,2015/10/16,18,20
2,2015/10/17,18,20
2,2015/10/18,18,20
2,2015/10/19,18,20
2,2015/10/20,18,20
2,2015/10/21,18,20
2,2015/10/22,18,20
2,2015/10/23,18,20
2,2015/10/24,18,20
2,2015/10/25,18,20
2,2015/10/26,18,20
2,2015/10/27,18,20
2,2015/10/28,18,20
2,2015/10/29,18,20
2,2015/10/30,18,20
2,2015/10/31,18,20
3,2015/9/1,49,49
3,2015/9/2,49,49
3,2015/9/3,49,49
3,2015/9/4,49,49
3,2015/9/5,49,49
3,2015/9/6,49,49
3,2015/9/7,49,49
3,2015/9/8,49,49
3,2015/9/9,49,49
3,2015/9/10,49,49
3,2015/9/11,49,49
3,2015/9/12,49,49
3,2015/9/13,49,49
3,2015/9/14,49,49
3,2015/9/15,49,49
3,2015/9/16,49,49
3,2015/9/17,49,49
3,2015/9/18,49,49
3,2015/9/19,49,49
3,2015/9/20,49,49
3,2015/9/21,49,49
3,2015/9/22,49,49
3,2015/9/23,49,49
3,2015/9/24,49,49
3,2015/9/25,49,49
3,2015/9/26,49,49
3,2015/9/27,49,49
3,2015/9/28,49,49
3,2015/9/29,49,49
3,2015/9/30,49,49
3,2015/10/1,49,49
3,2015/10/2,49,49
3,2015/10/3,49,49
3,2015/10/4,49,49
3,2015/10/5,49,49
3,2015/10/6,49,49
3,2015/10/7,49,49
3,2015/10/8,49,49
3,2015/10/9,49,49
3,2015/10/10,49,49
3,2015/10/11,49,49
3,2015/10/12,49,49
3,2015/10/13,49,49
3,2015/10/14,49,49
3,2015/10/15,49,49
3,2015/10/16,49,49
3,2015/10/17,49,49
3,2015/10/18,49,49
3,2015/10/19,49,49
3,2015/10/20,49,49
3,2015/10/21,49,49
3,2015/10/22,49,49
3,2015/10/23,49,49
3,2015/10/24,49,49
3,2015/10/25,49,49
3,2015/10/26,49,49
3,2015/10/27,49,49
3,2015/10/28,49,49
3,2015/10/29,49,49
3,2015/10/30,49,49
3,2015/10/31,49,49
4,2015/9/1,0,1
4,2015/9/2,0,1
4,2015/9/3,0,1
4,2015/9/4,0,1
4,2015/9/5,0,1
4,2015/9/6,0,1
4,2015/9/7,0,1
4,2015/9/8,0,1
4,2015/9/9,0,1
4,2015/9/10,0,1
4,2015/9/11,0,1
4,2015/9/12,0,1
4,2015/9/13,0,1
4,2015/9/14,0,1
4,2015/9/15,0,1
4,2015/9/16,0,1
4,2015/9/17,0,1
4,2015/9/18,0,1
4,2015/9/19,0,1
4,2015/9/20,0,1
4,2015/9/21,0,1
4,2015/9/22,0,1
4,2015/9/23,0,1
4,2015/9/24,0,1
4,2015/9/25,0,1
4,2015/9/26,0,1
4,2015/9/27,0,1
4,2015/9/28,0,1
4,2015/9/29,0,1
4,2015/9/30,0,1
4,2015/10/1,0,1
4,2015/10/2,0,1
4,2015/10/3,0,1
4,2015/10/4,0,1
4,2015/10/5,0,1
4,2015/10/6,0,1
4,2015/10/7,0,1
4,2015/10/8,0,1
4,2015/10/9,0,1
4,2015/10/10,0,1
4,2015/10/11,0,1
4,2015/10/12,0,1
4,2015/10/13,0,1
4,2015/10/14,0,1
4,2015/10/15,0,1
4,2015/10/16,0,1
4,2015/10/17,0,1
4,2015/10/18,0,1
4,2015/10/19,0,1
4,2015/10/20,0,1
4,2015/10/21,0,1
4,2015/10/22,0,1
4,2015/10/23,0,1
4,2015/10/24,0,1
4,2015/10/25,0,1
4,2015/10/26,0,1
4,2015/10/27,0,1
4,2015/10/28,0,1
4,2015/10/29,0,1
4,2015/10/30,0,1
4,2015/10/31,0,1
5,2015/9/1,41,48
5,2015/9/2,41,48
5,2015/9/3,41,48
5,2015/9/4,41,48
5,2015/9/5,41,48
5,2015/9/6,41,48
5,2015/9/7,41,48
5,2015/9/8,41,48
5,2015/9/9,41,48
5,2015/9/10,41,48
5,2015/9/11,41,48
5,2015/9/12,41,48
5,2015/9/13,41,48
5,2015/9/14,41,48
5,2015/9/15,41,48
5,2015/9/16,41,48
5,2015/9/17,41,48
5,2015/9/18,41,48
5,2015/9/19,41,48
5,2015/9/20,41,48
5,2015/9/21,41,48
5,2015/9/22,41,48
5,2015/9/23,41,48
5,2015/9/24,41,48
5,2015/9/25,41,48
5,2015/9/26,41,48
5,2015/9/27,41,48
5,2015/9/28,41,48
5,2015/9/29,41,48
5,2015/9/30,41,48
5,2015/10/1,41,48
5,2015/10/2,41,48
5,2015/10/3,41,48
5,2015/10/4,41,48
5,2015/10/5,41,48
5,2015/10/6,41,48
5,2015/10/7,41,48
5,2015/10/8,41,48
5,2015/10/9,41,48
5,2015/10/10,41,48
5,2015/10/11,41,48
5,2015/10/12,41,48
5,2015/10/13,41,48
5,2015/10/14,41,48
5,2015/10/15,41,48
5,2015/10/16,41,48
5,2015/10/17,41,48
5,2015/10/18,41,48
5,2015/10/19,41,48
5,2015/10/20,41,48
5,2015/10/21,41,48
5,2015/10/22,41,48
5,2015/10/23,41,48
5,2015/10/24,41,48
5,2015/10/25,41,48
5,2015/10/26,41,48
5,2015/10/27,41,48
5,2015/10/28,41,48
5,2015/10/29,41,48
5,2015/10/30,41,48
5,2015/10/31,41,48
6,2015/9/1,34,40
6,2015/9/2,34,40
6,2015/9/3,34,40
6,2015/9/4,34,40
6,2015/9/5,34,40
6,2015/9/6,34,40
6,2015/9/7,34,40
6,2015/9/8,34,40
6,2015/9/9,34,40
6,2015/9/10,34,40
6,2015/9/11,34,40
6,2015/9/12,34,40
6,2015/9/13,34,40
6,2015/9/14,34,40
6,2015/9/15,34,40
6,2015/9/16,34,40
6,2015/9/17,34,40
6,2015/9/18,34,40
6,2015/9/19,34,40
6,2015/9/20,34,40
6,2015/9/21,34,40
6,2015/9/22,34,40
6,2015/9/23,34,40
6,2015/9/24,34,40
6,2015/9/25,34,40
6,2015/9/26,34,40
6,2015/9/27,34,40
6,2015/9/28,34,40
6,2015/9/29,34,40
6,2015/9/30,34,40
6,2015/10/1,34,40
6,2015/10/2,34,40
6,2015/10/3,34,40
6,2015/10/4,34,40
6,2015/10/5,34,40
6,2015/10/6,34,40
6,2015/10/7,34,40
6,2015/10/8,34,40
6,2015/10/9,34,40
6,2015/10/10,34,40
6,2015/10/11,34,40
6,2015/10/12,34,40
6,2015/10/13,34,40
6,2015/10/14,34,40
6,2015/10/15,34,40
6,2015/10/16,34,40
6,2015/10/17,34,40
6,2015/10/18,34,40
6,2015/10/19,34,40
6,2015/10/20,34,40
6,2015/10/21,34,40
6,2015/10/22,34,40
6,2015/10/23,34,40
6,2015/10/24,34,40
6,2015/10/25,34,40
6,2015/10/26,34,40
6,2015/10/27,34,40
6,2015/10/28,34,40
6,2015/10/29,34,40
6,2015/10/30,34,40
6,2015/10/31,34,40
7,2015/9/1,58,57
7,2015/9/2,58,57
7,2015/9/3,58,57
7,2015/9/4,58,57
7,2015/9/5,58,57
7,2015/9/6,58,57
7,2015/9/7,58,57
7,2015/9/8,58,57
7,2015/9/9,58,57
7,2015/9/10,58,57
7,2015/9/11,58,57
7,2015/9/12,58,57
7,2015/9/13,58,57
7,2015/9/14,58,57
7,2015/9/15,58,57
7,2015/9/16,58,57
7,2015/9/17,58,57
7,2015/9/18,58,57
7,2015/9/19,58,57
7,2015/9/20,58,57
7,2015/9/21,58,57
7,2015/9/22,58,57
7,2015/9/23,58,57
7,2015/9/24,58,57
7,2015/9/25,58,57
7,2015/9/26,58,57
7,2015/9/27,58,57
7,2015/9/28,58,57
7,2015/9/29,58,57
7,2015/9/30,58,57
7,2015/10/1,58,57
7,2015/10/2,58,57
7,2015/10/3,58,57
7,2015/10/4,58,57
7,2015/10/5,58,57
7,2015/10/6,58,57
7,2015/10/7,58,57
7,2015/10/8,58,57
7,2015/10/9,58,57
7,2015/10/10,58,57
7,2015/10/11,58,57
7,2015/10/12,58,57
7,2015/10/13,58,57
7,2015/10/14,58,57
7,2015/10/15,58,57
