date,weather,wendu,
2015-01-01,晴 /晴,4℃ / -4℃,
2015-01-02,晴 /多云,8℃ / -2℃,
2015-01-03,多云 /多云,11℃ / 0℃,
2015-01-04,晴 /多云,14℃ / 4℃,
2015-01-05,阴 /小雨,13℃ / 2℃,
2015-01-06,阴 /多云,5℃ / -1℃,
2015-01-07,多云 /多云,6℃ / -3℃,
2015-01-08,晴 /晴,8℃ / -2℃,
2015-01-09,晴 /晴,11℃ / -1℃,
2015-01-10,晴 /晴,13℃ / 1℃,
2015-01-11,晴 /晴,11℃ / 0℃,
2015-01-12,多云 /多云,8℃ / 2℃,
2015-01-13,阴 /小雨,7℃ / 4℃,
2015-01-14,小雨 /阴,8℃ / 3℃,
2015-01-15,多云 /多云,10℃ / 2℃,
2015-01-16,多云 /晴,10℃ / -1℃,
2015-01-17,多云 /多云,6℃ / -3℃,
2015-01-18,多云 /晴,8℃ / -1℃,
2015-01-19,晴 /晴,10℃ / 0℃,
2015-01-20,多云 /多云,9℃ / 2℃,
2015-01-21,小雨 /阴,11℃ / 1℃,
2015-01-22,晴 /多云,6℃ / -3℃,
2015-01-23,晴 /晴,9℃ / -1℃,
2015-01-24,多云 /阴,13℃ / 5℃,
2015-01-25,小雨 /阴,11℃ / 3℃,
2015-01-26,多云 /多云,8℃ / 2℃,
2015-01-27,多云 /阴,3℃ / 0℃,
2015-01-28,阴 /雨夹雪,3℃ / -1℃,
2015-01-29,阴雨 /小雪,4℃ / -2℃,
2015-01-30,多云 /多云,4℃ / -3℃,
2015-01-31,多云 /多云,4℃ / -3℃,
2015-02-01,小雨 /多云,5℃ / -3℃,
2015-02-02,多云 /阴,6℃ / 1℃,
2015-02-03,阴 /多云,7℃ / 0℃,
2015-02-04,多云 /晴,8℃ / -3℃,
2015-02-05,晴 /晴,7℃ / -4℃,
2015-02-06,多云 /多云,8℃ / -2℃,
2015-02-07,阴 /阴,11℃ / -2℃,
2015-02-08,晴 /晴,4℃ / -6℃,
2015-02-09,晴 /晴,5℃ / -3℃,
2015-02-10,晴 /多云,10℃ / 1℃,
2015-02-11,多云 /多云,13℃ / 0℃,
2015-02-12,多云 /多云,10℃ / 1℃,
2015-02-13,晴 /晴,12℃ / 1℃,
2015-02-14,多云 /小雨,17℃ / 9℃,
2015-02-15,小雨 /阴,14℃ / 7℃,
2015-02-16,多云 /多云,13℃ / 1℃,
2015-02-17,晴 /晴,13℃ / 1℃,
2015-02-18,晴 /晴,9℃ / -2℃,
2015-02-19,多云 /多云,8℃ / 1℃,
2015-02-20,小雨 /小雨,9℃ / 6℃,
2015-02-21,多云 /多云,11℃ / 3℃,
2015-02-22,多云 /多云,9℃ / 2℃,
2015-02-23,多云 /多云,10℃ / 2℃,
2015-02-24,多云 /小雨,12℃ / 5℃,
2015-02-25,阴 /阴,14℃ / 3℃,
2015-02-26,阴 /多云,9℃ / 2℃,
2015-02-27,阴 /雨夹雪,5℃ / 1℃,
2015-02-28,雨夹雪 /小雨,4℃ / 0℃,
2015-03-01,多云 /晴,10℃ / 1℃,
2015-03-02,晴 /多云,13℃ / 5℃,
2015-03-03,多云 /多云,12℃ / -1℃,
2015-03-04,晴 /多云,6℃ / 0℃,
2015-03-05,阴 /阴,6℃ / -1℃,
2015-03-06,多云 /晴,8℃ / 0℃,
2015-03-07,多云 /阴,12℃ / 3℃,
2015-03-08,阴 /阴,11℃ / 3℃,
2015-03-09,多云 /多云,8℃ / -3℃,
2015-03-10,晴 /晴,6℃ / -3℃,
2015-03-11,多云 /多云,11℃ / 0℃,
2015-03-12,晴 /多云,15℃ / 6℃,
2015-03-13,晴 /多云,18℃ / 5℃,
2015-03-14,阴 /阴,12℃ / 4℃,
2015-03-15,多云 /多云,16℃ / 6℃,
2015-03-16,多云 /阴,18℃ / 10℃,
2015-03-17,小雨 /中雨,16℃ / 9℃,
2015-03-18,小雨 /小雨,11℃ / 6℃,
2015-03-19,多云 /小雨,15℃ / 7℃,
2015-03-20,阴 /多云,16℃ / 8℃,
2015-03-21,晴 /晴,21℃ / 7℃,
2015-03-22,晴 /多云,18℃ / 5℃,
2015-03-23,多云 /多云,15℃ / 5℃,
2015-03-24,晴 /多云,15℃ / 4℃,
2015-03-25,多云 /阴,16℃ / 5℃,
2015-03-26,多云 /阴,15℃ / 7℃,
2015-03-27,阴 /多云,16℃ / 7℃,
2015-03-28,多云 /多云,20℃ / 10℃,
2015-03-29,多云 /多云,21℃ / 12℃,
2015-03-30,多云 /阴,22℃ / 14℃,
2015-03-31,阴 /小雨,23℃ / 13℃,
2015-04-01,小雨 /阴,21℃ / 12℃,
2015-04-02,中雨 /小雨,22℃ / 9℃,
2015-04-03,阴 /阴,15℃ / 9℃,
2015-04-04,大雨 /小雨,13℃ / 9℃,
2015-04-05,中雨 /阴,15℃ / 7℃,
2015-04-06,阴 /阴,11℃ / 5℃,
2015-04-07,阴 /晴,10℃ / 2℃,
2015-04-08,阴 /阴,13℃ / 3℃,
2015-04-09,多云 /多云,15℃ / 4℃,
2015-04-10,多云 /多云,17℃ / 6℃,
2015-04-11,多云 /多云,17℃ / 8℃,
2015-04-12,小雨 /小雨,20℃ / 4℃,
2015-04-13,小雨 /小雨,12℃ / 6℃,
2015-04-14,多云 /多云,18℃ / 9℃,
2015-04-15,多云 /晴,22℃ / 12℃,
2015-04-16,晴 /晴,20℃ / 8℃,
2015-04-17,阴 /多云,21℃ / 12℃,
2015-04-18,阴 /小雨,25℃ / 11℃,
2015-04-19,小雨 /小雨,17℃ / 10℃,
2015-04-20,多云 /多云,17℃ / 6℃,
2015-04-21,多云 /多云,20℃ / 8℃,
2015-04-22,晴 /多云,23℃ / 11℃,
2015-04-23,晴 /多云,27℃ / 12℃,
2015-04-24,多云 /多云,25℃ / 11℃,
2015-04-25,多云 /多云,27℃ / 13℃,
2015-04-26,晴 /多云,28℃ / 14℃,
2015-04-27,阴 /小雨,26℃ / 17℃,
2015-04-28,小雨 /小雨,27℃ / 14℃,
2015-04-29,阴 /多云,20℃ / 12℃,
2015-04-30,晴 /多云,24℃ / 14℃,
2015-05-01,多云 /小雨,24℃ / 15℃,
2015-05-02,中雨 /多云,18℃ / 14℃,
2015-05-03,晴 /多云,22℃ / 13℃,
2015-05-04,多云 /多云,21℃ / 11℃,
2015-05-05,多云 /多云,24℃ / 13℃,
2015-05-06,多云 /多云,20℃ / 12℃,
2015-05-07,多云 /多云,26℃ / 16℃,
2015-05-08,阴 /阴,25℃ / 14℃,
2015-05-09,多云 /多云,23℃ / 13℃,
2015-05-10,多云 /阴,24℃ / 15℃,
2015-05-11,小雨 /阴,21℃ / 12℃,
2015-05-12,晴 /晴,26℃ / 16℃,
2015-05-13,晴 /晴,28℃ / 21℃,
2015-05-14,小雨 /雷阵雨,29℃ / 18℃,
2015-05-15,雷阵雨 /多云,22℃ / 14℃,
2015-05-16,多云 /多云,24℃ / 13℃,
2015-05-17,多云 /阴,24℃ / 18℃,
2015-05-18,多云 /多云,26℃ / 19℃,
